Jugador,¿Europa?,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_progresivos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Duelos_aereos_ganados,market_value
Bamba Dieng,0,Delantero,25.035616438356165,0.16666666666666666,0.47058823529411764,0.0875,0.08235294117647059,0.0,0.3333333333333333,5.722222222222222,0.3888888888888889,0.1111111111111111,1.1111111111111112,0.0,0.005555555555555556,0.1111111111111111,5.5,0.2222222222222222,0.1111111111111111,0.2777777777777778,4.444444444444445,0.0,0.16666666666666666,0.0,4.777777777777778,1.3333333333333333,0.4117647058823529,0.2777777777777778,0.35294117647058826,0.5555555555555556,7.5,1.9444444444444444,0.5,0.5,3000000.0
Bamo Meite,0,Defensa,23.416438356164385,0.0,0.1,0.0,0.0,0.0,0.2,20.1,0.7,0.1,7.8,0.7,0.0,0.6,18.9,1.2,0.0,0.0,17.9,0.0,1.5,0.0,1.3,0.2,0.2,0.2,0.3,0.3,16.6,0.1,0.9,0.5,4000000.0
Baptiste Santamaria,1,Mediocampista,30.18904109589041,0.0,0.8695652173913043,0.0391304347826087,0.0391304347826087,0.018181818181818184,1.3478260869565217,33.869565217391305,3.1739130434782608,0.391304347826087,10.521739130434783,2.5217391304347827,0.013043478260869568,3.130434782608696,32.869565217391305,0.9130434782608695,0.17391304347826086,0.30434782608695654,27.956521739130434,0.08695652173913043,1.1304347826086956,0.0,6.6521739130434785,0.782608695652174,0.391304347826087,0.6521739130434783,1.173913043478261,0.5217391304347826,28.26086956521739,0.8695652173913043,0.6190476190476191,1.4545454545454546,7000000.0
Bart Verbruggen,1,Portero,22.767123287671232,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,36.52777777777778,0.05555555555555555,0.05555555555555555,13.222222222222221,5.84375,0.0,0.5555555555555556,32.333333333333336,3.6857142857142855,0.0,0.0,28.083333333333332,0.11428571428571428,0.8055555555555556,0.0,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.0,25.25,0.0,0.0,0.2777777777777778,30000000.0
Ben Chilwell,1,Defensa,28.410958904109588,0.125,0.625,0.0125,0.0125,0.1,1.0,15.625,1.0,0.25,4.5,0.75,0.05714285714285715,0.875,11.875,2.0,0.125,0.875,11.5,0.0,2.0,0.0,5.25,0.375,0.375,0.25,0.5,0.25,8.5,1.875,0.25,0.375,15000000.0
Ben Davies,1,Defensa,32.084931506849315,0.0,0.29411764705882354,0.017647058823529415,0.017647058823529415,0.011764705882352941,0.47058823529411764,57.5625,3.0588235294117645,0.058823529411764705,24.23076923076923,4.529411764705882,0.023529411764705882,2.764705882352941,54.411764705882355,5.588235294117647,0.058823529411764705,0.23529411764705882,50.375,0.17647058823529413,4.066666666666666,0.0,2.823529411764706,0.7647058823529411,0.0,0.5882352941176471,0.29411764705882354,0.0,43.5,0.35294117647058826,1.0,1.9230769230769231,6000000.0
Ben Lhassine Kone,0,Mediocampista,24.827397260273973,0.0,0.25,0.0,0.0,0.0,0.0,6.0,0.75,0.25,3.25,0.5,0.0,0.75,5.5,0.5,0.0,0.0,5.75,0.0,0.25,0.0,1.5,0.0,0.0,0.0,1.25,1.25,5.75,0.25,0.25,0.0,500000.0
Ben White,1,Defensa,27.627397260273973,0.0,0.5294117647058824,0.023529411764705882,0.023529411764705882,0.07647058823529412,1.3529411764705883,37.0,3.4705882352941178,0.0,13.764705882352942,1.411764705882353,0.0375,3.235294117647059,34.294117647058826,6.294117647058823,0.058823529411764705,1.0,34.11764705882353,0.11764705882352941,2.588235294117647,0.0,10.266666666666667,1.6470588235294117,0.29411764705882354,0.9411764705882353,0.5882352941176471,0.35294117647058826,29.058823529411764,2.4705882352941178,0.5882352941176471,1.0588235294117647,45000000.0
Ben Winterburn,1,Mediocampista,20.720547945205478,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.75,0.0,0.0,0.0,1.75,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.25,500000.0
Benat Prados,1,Mediocampista,24.29041095890411,0.1,0.5333333333333333,0.030000000000000002,0.030000000000000002,0.013793103448275864,0.7,26.3,2.6,0.5,10.033333333333333,1.3333333333333333,0.013793103448275864,2.3333333333333335,25.8,0.4666666666666667,0.13333333333333333,0.3,21.566666666666666,0.03333333333333333,0.8666666666666667,0.0,6.133333333333334,0.8,0.4,0.6333333333333333,0.8333333333333334,0.5517241379310345,20.133333333333333,1.0666666666666667,1.206896551724138,0.8275862068965517,18000000.0
Benat Turrientes,1,Mediocampista,23.30958904109589,0.0,0.3333333333333333,0.023809523809523808,0.023809523809523808,0.009523809523809525,0.5714285714285714,21.523809523809526,2.0,0.45,6.904761904761905,2.0476190476190474,0.009523809523809525,1.9047619047619047,20.142857142857142,1.380952380952381,0.0,0.9047619047619048,19.285714285714285,0.0,0.6666666666666666,0.0,5.9523809523809526,0.38095238095238093,0.3333333333333333,0.8095238095238095,0.9523809523809523,0.5238095238095238,18.666666666666668,1.3333333333333333,0.6190476190476191,0.47619047619047616,10000000.0
